Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GT,140124,846755995,9.21121,-0.405278,1.82485,9.01892,1.869312114,2.277472026,1.789337736,1,4.22675,1.3923,0.788359,3.91079,1.600002876,1.626320693,0.515216768,-1,2.36611
GT,140124,846767625,5.60037,-0.139129,2.20743,-5.14401,2.211810137,-1.580478492,1.63374066,-1,4.22481,-1.75563,-0.911018,-3.73171,1.977925806,-1.391776816,-2.66292993,1,3.53339
GG,140124,846768167,7.9268,-2.08998,-0.54248,-7.62632,2.159236196,-1.974461693,-2.887634631,-1,9.12802,-0.452753,3.55879,-8.39283,3.587474257,-1.585908234,1.6973376,1,4.32322
GT,140124,846774837,7.36854,0.25943,2.94298,6.7495,2.954392527,1.56410654,1.482871461,1,4.7961,1.49287,0.451543,4.53419,1.55966404,1.788671114,0.293717999,-1,2.46241
GT,140124,846935996,3.75065,3.19394,1.58704,1.15598,3.566503706,0.318698899,0.461157307,1,4.92698,1.11851,0.120551,4.79566,1.124987628,2.156568435,0.107363767,1,4.28558
GT,140124,847044993,14.7798,0.490115,-3.09121,-14.4442,3.129822995,-2.234000198,-1.413554037,1,6.86711,-1.44848,-1.00533,-6.63605,1.763174047,-2.035747405,-2.534865346,-1,2.55157
GT,140124,847063068,6.06853,-0.716288,-3.57333,4.8512,3.644414327,1.097291362,-1.768628308,1,4.64636,1.09224,-0.628101,4.47102,1.259959953,1.978971008,-0.521877627,-1,3.1799
GT,140124,847068097,7.82407,-0.391815,-1.73356,7.6188,1.777287053,2.162012948,-1.793079085,-1,5.64109,1.48365,-1.1641,5.31549,1.885827705,1.759483424,-0.665291674,1,2.10384
GT,140124,847095983,36.2425,6.77941,3.68581,35.4113,7.716579249,2.228472514,0.497975823,1,3.05084,-0.0451316,1.2276,2.79059,1.228429331,1.558925049,1.607543869,1,3.88428
GT,140124,847132290,8.59198,-3.44755,-0.649816,7.84239,3.508256239,1.544216176,-2.955292055,1,8.97593,-2.55657,2.26812,8.29914,3.417662725,1.620271478,2.415909634,-1,3.06823
GT,140124,847208463,7.27572,0.578135,3.40487,6.40293,3.453603885,1.376361613,1.402603963,-1,4.38845,-2.12446,0.701257,3.77389,2.23720622,1.294147271,2.822766481,1,3.63782
GT,140124,847209106,7.30491,-1.5147,-1.24601,7.03589,1.961340616,1.989427388,-2.453215332,-1,5.9101,0.58055,-1.45938,5.69661,1.570613984,2.000035932,-1.19218283,1,2.08049
GG,140124,847355400,7.23359,-0.315508,-1.65621,-7.03357,1.685994324,-2.135550921,-1.759040805,1,8.73555,1.78584,0.421884,-8.53999,1.83499608,-2.242212193,0.231985233,-1,2.96517
GT,140124,847371516,9.87194,-2.67578,-1.20189,-9.42548,2.93331522,-1.883808785,-2.719426093,-1,6.10028,1.29504,-0.483695,-5.94063,1.382421591,-2.164396748,-0.3574533,1,3.77447
GG,140124,847398620,11.4284,-8.23887,4.68493,-6.38507,9.477739603,-0.630980426,2.624553148,-1,5.98395,-5.20497,0.406266,-2.92227,5.220801161,-0.533993659,3.06369711,1,3.14727
GT,140124,847399713,6.52058,-0.227197,3.22309,-5.66275,3.231087685,-1.327178681,1.64117035,-1,6.89464,1.10206,-0.592495,-6.77933,1.251234018,-2.39130456,-0.493292628,1,4.18056
GT,140124,847419682,9.1086,-1.98569,-1.08061,8.82297,2.260681921,2.070862327,-2.643214291,-1,3.01103,0.635252,-1.11179,2.72315,1.280477297,1.498889292,-1.051688571,1,2.63485
GT,140124,847431332,17.467,-0.847549,-3.07981,17.1721,3.194302575,2.383604819,-1.839344026,1,6.86635,-1.43084,-0.459412,6.69905,1.502784912,2.200142693,-2.830911671,-1,2.13603
GT,140124,847439455,10.3072,0.710988,-2.00227,-10.0853,2.124756242,-2.261485106,-1.22959334,-1,4.95943,0.0588981,1.54444,-4.71127,1.545562648,-1.833596762,1.532679228,-1,3.65107
GT,140124,847445088,10.0894,2.18424,-0.00613321,-9.84957,2.184248611,-2.211376831,-0.00280793,1,4.52878,-2.20146,-0.098757,-3.95506,2.203673995,-1.347891825,-3.096762934,1,4.80752
GT,140124,847477368,6.64699,0.176682,-1.36851,6.50133,1.379868164,2.254242248,-1.442401178,-1,12.4491,2.98844,-0.471739,12.0754,3.025443987,2.09259594,-0.156562716,1,2.48209
GT,140124,847481355,8.62411,-0.189715,3.1841,-8.01185,3.189746791,-1.651586574,1.630307956,-1,3.21102,0.76112,-0.0720818,-3.11689,0.764525631,-2.113195331,-0.094423286,-1,2.49209
GT,140124,847492679,10.0146,1.38746,-3.26213,-9.36556,3.544931225,-1.698700286,-1.168651846,-1,5.34036,1.15201,0.303519,-5.20471,1.19132314,-2.180494531,0.257614711,1,2.87723
GT,140124,847522328,5.87198,-1.64815,-0.118031,5.6337,1.652370945,1.940546412,-3.070100471,1,3.9758,0.825279,-0.801764,3.8042,1.150613288,1.911081169,-0.770946571,1,2.52618
GT,140124,847525620,8.69073,3.78383,0.152938,7.82156,3.786919527,1.472512932,0.040396846,1,3.24721,-1.46922,0.124303,2.89122,1.474468936,1.425991047,3.057188901,1,4.72402
GT,140124,847532274,11.1111,-2.28394,1.60991,10.7535,2.794314251,2.057260369,2.527597161,-1,5.91715,-1.86528,-1.02837,5.51949,2.129979891,1.680627823,-2.637734997,1,2.75644
GT,140124,847537130,12.1561,-0.840344,4.63295,11.2066,4.70854582,1.601739644,1.750229715,1,3.40042,-0.682616,-0.26564,3.31891,0.732481545,2.216061201,-2.770474596,-1,3.10167
GT,140124,847548202,15.8422,2.13346,3.01087,15.4061,3.690120557,2.136295348,0.954331233,-1,6.22832,-0.386075,2.28561,5.77994,2.3179877,1.644820447,1.738132276,1,2.67478
GG,140124,847569877,8.54325,0.958001,2.01197,-8.24683,2.228405079,-2.019463332,1.12640951,1,8.16118,-3.24914,1.04175,-7.41293,3.412060053,-1.518249731,2.831324406,-1,4.38582
